id,customer_id,title,description,category,priority,status,assigned_agent,created_at,updated_at,resolved_at
13,357,"Limited personalization options","Emily Mukherjee from CartFlow Retail is looking for more personalized learning tools.",Onboarding,Medium,Open,Arjun_Mehta,"2026-06-05 10:47:17","2026-06-19 16:04:45",NULL
14,411,"Needs better reporting for AI/ML SaaS workflows","Sanjay Sharma from NeuralPath AI needs assistance with improving their reporting capabilities.",Technical,Medium,Open,Meera_Joshi,"2026-03-28 08:06:17","2026-05-07 19:38:20",NULL
15,387,"Need for more interactive learning tools","Kavya Johnson from CloudMind Systems is seeking additional interactive learning tools.",Onboarding,Medium,Open,Karthik_Nair,"2026-06-05 06:01:17","2026-06-23 03:32:18",NULL
16,277,"Slack alerts not firing","SecureVault FinTech configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,High,Escalated,Karthik_Nair,"2026-06-09 11:08:17","2026-06-13 18:15:27",NULL
17,177,"Legacy CRM import failing","CloudMind Systems is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Low,Closed,Sneha_Reddy,"2026-03-16 14:54:17","2026-03-23 05:25:54","2026-03-23 05:25:54"
18,357,"SSO login redirects to error page","Emily Mukherjee cannot complete SSO login for CartFlow Retail. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Resolved,Suresh_Babu,"2026-06-10 11:33:17","2026-06-14 09:43:53","2026-06-14 09:43:53"
19,411,"Slack alerts not firing","NeuralPath AI configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Low,Closed,Priya_Sharma,"2026-05-05 12:25:17","2026-05-11 15:46:11","2026-05-11 15:46:11"
20,387,"Legacy CRM import failing","CloudMind Systems is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Low,Closed,Vikram_Rao,"2026-06-26 03:03:17","2026-07-01 09:14:07","2026-07-01 09:14:07"
21,485,"Improvement Request for AI/ML SaaS Reporting","Ananya Das from ShopVault Commerce is requesting better reporting tools to manage AI/ML SaaS workflows.",Technical,Medium,Open,Meera_Joshi,"2026-01-06 12:58:17","2026-04-05 03:30:18",NULL
22,480,"Automation Enhancement for AI/ML SaaS Productivity","Lakshmi Agarwal from EduPeak Learning needs better automation features to streamline AI/ML SaaS workflows.",Technical,Medium,Open,Ananya_Iyer,"2026-04-10 12:20:17","2026-05-30 21:01:49",NULL
23,322,"Limited Product Range for Retail/E-commerce Business","Harini Saxena from TechNova Solutions is seeking more diverse product offerings to meet the needs of her retail/e-commerce business.",Account,Low,Open,Karthik_Nair,"2026-06-05 09:06:17","2026-06-06 17:09:03",NULL
24,161,"Personalized Learning Tools for Teachers","Ishaan Singh from BrightMinds Education is requesting more personalized learning tools to enhance the educational experience.",Account,Low,Open,Priya_Sharma,"2026-05-31 07:13:17","2026-06-04 19:13:21",NULL
25,243,"Automation for Healthcare Workflow Improvement","Arjun Mishra from BioSync Healthcare is looking to improve automation in healthcare workflows.",Technical,Medium,Open,Arjun_Mehta,"2026-03-08 14:36:17","2026-05-18 08:23:26",NULL
26,485,"Invoice mismatch after renewal","ShopVault Commerce reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Low,Resolved,Sneha_Reddy,"2026-04-02 07:31:17","2026-04-08 06:54:09","2026-04-08 06:54:09"
27,480,"SSO login redirects to error page","Lakshmi Agarwal cannot complete SSO login for EduPeak Learning. Users are redirected to an error page after identity-provider authentication.",Account,High,Escalated,Vikram_Rao,"2026-05-24 06:34:17","2026-06-20 23:26:20",NULL
28,322,"SSO login redirects to error page","Harini Saxena cannot complete SSO login for TechNova Solutions. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Closed,Priya_Sharma,"2026-06-23 13:19:17","2026-06-24 13:02:07","2026-06-24 13:02:07"
29,161,"Legacy CRM import failing","BrightMinds Education is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Medium,Resolved,Ananya_Iyer,"2026-05-31 09:23:17","2026-06-01 00:53:30","2026-06-01 00:53:30"
30,243,"Invoice mismatch after renewal","BioSync Healthcare reports that the latest Premium renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Low,"In Progress",Arjun_Mehta,"2026-03-19 06:22:17","2026-05-14 17:25:31",NULL
31,315,"High shipping fees issue","Customer Pranav Gupta from AlgoTrade Finance reports high shipping fees.",Billing,Medium,Open,Divya_Pillai,"2026-06-05 08:08:17","2026-06-09 10:59:21",NULL
32,274,"Need better cloud security features issue","Customer Nisha Reddy from CloudMind Systems reports needing better cloud security features.",Technical,Medium,Open,Ravi_Kumar,"2026-06-04 12:20:17","2026-06-19 09:28:08",NULL
33,215,"Need more personalized recommendations issue","Customer Aditya Malhotra from ShopVault Commerce reports needing more personalized recommendations.",Integration,Low,Open,Priya_Sharma,"2026-05-26 05:14:17","2026-06-16 11:02:06",NULL
34,237,"Needs better integration for Healthcare workflows issue","Customer Gaurav Bhatia from DataBridge Analytics reports needing better integration for healthcare workflows.",Integration,High,Open,Arjun_Mehta,"2026-01-06 10:30:17","2026-05-18 02:34:50",NULL
35,77,"Need more interactive learning tools issue","Customer Arjun Reddy from NeuralPath AI reports needing more interactive learning tools.",Onboarding,Medium,Open,Meera_Joshi,"2026-06-05 05:08:17","2026-06-09 04:40:18",NULL
36,315,"Dashboard timeout on analytics export","AlgoTrade Finance is seeing timeout errors when exporting analytics for their Retail/E-commerce workflow. The issue blocks their weekly operations review.",Technical,Low,Resolved,Divya_Pillai,"2026-06-25 08:03:17","2026-06-27 20:37:20","2026-06-27 20:37:20"
37,274,"SSO login redirects to error page","Nisha Reddy cannot complete SSO login for CloudMind Systems. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Escalated,Meera_Joshi,"2026-06-07 09:13:17","2026-06-19 03:15:24",NULL
38,215,"Invoice mismatch after renewal","ShopVault Commerce reports that the latest Basic renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Medium,Resolved,Priya_Sharma,"2026-06-10 14:33:17","2026-06-10 22:23:14","2026-06-10 22:23:14"
39,237,"Invoice mismatch after renewal","DataBridge Analytics reports that the latest Premium renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,Resolved,Meera_Joshi,"2026-02-08 05:42:17","2026-02-14 01:48:54","2026-02-14 01:48:54"
40,77,"Slack alerts not firing","NeuralPath AI configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,High,Escalated,Karthik_Nair,"2026-06-19 06:33:17","2026-06-21 04:40:33",NULL
41,262,"Request for Better Analytics","Sarah Nair from MarketPulse AI needs better analytics tools for EdTech workflows.",Technical,Medium,Open,Arjun_Mehta,"2026-01-06 04:52:17","2026-01-22 20:15:03",NULL
42,294,"Advanced Financial Tools Needed","Farhan Ghosh from FinEdge Capital needs more advanced financial tools.",Technical,Medium,Open,Ravi_Kumar,"2026-05-21 10:49:17","2026-05-22 14:01:11",NULL
43,178,"Slow Response Times Issue","Arjun Srivastava from FinEdge Capital is experiencing slow response times.",Account,High,Open,Vikram_Rao,"2026-01-06 13:36:17","2026-03-31 01:27:19",NULL
44,362,"Interactive Teaching Methods Needed","Harini Yadav from LearnSphere EdTech needs more interactive teaching methods.",Technical,Medium,Open,Ravi_Kumar,"2026-05-21 09:50:17","2026-06-02 23:07:44",NULL
45,473,"Comprehensive Patient Follow-Up Needed","Nikhil Iyer from MediTrack Health needs more comprehensive patient follow-up.",Technical,Medium,Open,Ravi_Kumar,"2026-06-05 13:52:17","2026-06-14 11:19:57",NULL
46,262,"SSO login redirects to error page","Sarah Nair cannot complete SSO login for MarketPulse AI. Users are redirected to an error page after identity-provider authentication.",Account,High,Open,Sneha_Reddy,"2026-05-12 06:17:17","2026-05-20 10:25:35",NULL
47,294,"Invoice mismatch after renewal","FinEdge Capital reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,"In Progress",Divya_Pillai,"2026-05-31 11:50:17","2026-06-19 03:12:01",NULL
48,178,"Slack alerts not firing","FinEdge Capital configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Critical,Closed,Arjun_Mehta,"2026-05-03 09:32:17","2026-05-05 08:17:56","2026-05-05 08:17:56"
49,362,"SSO login redirects to error page","Harini Yadav cannot complete SSO login for LearnSphere EdTech. Users are redirected to an error page after identity-provider authentication.",Account,Low,Resolved,Sneha_Reddy,"2026-06-14 15:15:17","2026-06-21 14:45:29","2026-06-21 14:45:29"
50,473,"Dashboard timeout on analytics export","MediTrack Health is seeing timeout errors when exporting analytics for their Healthcare workflow. The issue blocks their weekly operations review.",Technical,Critical,Resolved,Suresh_Babu,"2026-06-19 04:37:17","2026-06-19 15:16:41","2026-06-19 15:16:41"
51,325,"Interactive Content Request","Meera Sharma from SkillForge Academy needs more interactive content to engage her customers.",Technical,Medium,Open,Priya_Sharma,"2026-05-26 08:11:17","2026-06-06 21:23:17",NULL
52,43,"Reporting System Upgrade Needed","Riya Miller from BrightMinds Education requires an upgrade to their reporting system for better Retail/E-commerce workflows.",Account,High,Open,Suresh_Babu,"2026-04-12 12:20:17","2026-04-13 09:24:49",NULL
53,391,"Personalized Learning Paths Request","Robert Mehta from CloudMind Systems requests more personalized learning paths to improve customer engagement.",Technical,Medium,Open,Vikram_Rao,"2026-06-05 06:01:17","2026-06-29 21:08:25",NULL
54,138,"Integration for EdTech Workflow","Rahul Johnson from SecureVault FinTech needs better integration with their EdTech workflows.",Account,High,Open,Vikram_Rao,"2026-04-19 14:59:17","2026-04-28 14:24:35",NULL
55,399,"Improved Reporting for AI/ML SaaS Workflows","Pranav Johnson from LearnSphere EdTech requests better reporting tools for their AI/ML SaaS workflows.",Technical,Medium,Open,Ananya_Iyer,"2026-04-03 09:34:17","2026-06-13 07:37:54",NULL
56,325,"Invoice mismatch after renewal","SkillForge Academy reports that the latest Basic renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,Escalated,Vikram_Rao,"2026-06-17 06:12:17","2026-06-25 23:49:54",NULL
57,43,"SSO login redirects to error page","Riya Miller cannot complete SSO login for BrightMinds Education. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Open,Divya_Pillai,"2026-04-16 07:52:17","2026-05-10 23:55:53",NULL
58,391,"Legacy CRM import failing","CloudMind Systems is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,High,Closed,Sneha_Reddy,"2026-06-26 05:14:17","2026-07-02 01:25:46","2026-07-02 01:25:46"
59,138,"Dashboard timeout on analytics export","SecureVault FinTech is seeing timeout errors when exporting analytics for their EdTech workflow. The issue blocks their weekly operations review.",Technical,Medium,Resolved,Priya_Sharma,"2026-06-29 08:37:17","2026-07-01 07:32:09","2026-07-01 07:32:09"
60,399,"Dashboard timeout on analytics export","LearnSphere EdTech is seeing timeout errors when exporting analytics for their AI/ML SaaS workflow. The issue blocks their weekly operations review.",Technical,High,Closed,Karthik_Nair,"2026-06-26 03:13:17","2026-06-26 21:40:50","2026-06-26 21:40:50"
61,87,"Need better access to patient data","Varun Agarwal from MediTrack Health is experiencing difficulty accessing patient data due to limited access controls.",Technical,Medium,Open,Vikram_Rao,"2026-06-05 03:24:17","2026-06-22 21:56:19",NULL
62,406,"Needs better integration for AI/ML SaaS workflows","Nandini Rao from CloudMind Systems is looking to improve the integration of their AI/ML SaaS workflows.",Integration,High,Open,Ravi_Kumar,"2026-01-06 14:01:17","2026-05-09 13:17:38",NULL
63,321,"Slow website loading","Tanvi Chopra from CloudMind Systems is experiencing slow website loading, which affects customer support interactions.",Technical,Medium,Open,Ravi_Kumar,"2026-06-05 09:37:17","2026-07-01 06:45:44",NULL
64,196,"Need for more advanced financial tools","Vishal Singh from FinEdge Capital is seeking additional features to enhance their financial analysis capabilities.",Technical,High,Open,Karthik_Nair,"2026-04-06 04:04:17","2026-05-26 03:37:49",NULL
65,257,"Needs better reporting for EdTech workflows","Pranav Joshi from LearnSphere EdTech is looking to improve the reporting features in their EdTech workflow.",Integration,Medium,Open,Sneha_Reddy,"2026-04-14 14:30:17","2026-06-18 03:22:26",NULL
66,87,"SSO login redirects to error page","Varun Agarwal cannot complete SSO login for MediTrack Health. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Closed,Divya_Pillai,"2026-07-03 07:07:17","2026-07-03 18:32:27","2026-07-03 18:32:27"
67,406,"Invoice mismatch after renewal","CloudMind Systems reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Low,Resolved,Sneha_Reddy,"2026-03-14 11:09:17","2026-03-15 02:19:50","2026-03-15 02:19:50"
68,321,"Dashboard timeout on analytics export","CloudMind Systems is seeing timeout errors when exporting analytics for their Retail/E-commerce workflow. The issue blocks their weekly operations review.",Technical,Medium,Open,Priya_Sharma,"2026-06-16 02:21:17","2026-06-19 19:55:50",NULL
69,196,"Legacy CRM import failing","FinEdge Capital is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Medium,Resolved,Sneha_Reddy,"2026-05-15 08:34:17","2026-05-15 23:18:02","2026-05-15 23:18:02"
70,257,"Slack alerts not firing","LearnSphere EdTech configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,Resolved,Priya_Sharma,"2026-06-19 12:59:17","2026-06-22 12:26:23","2026-06-22 12:26:23"
71,270,"Need better product recommendations","Customer Amanda Mukherjee signed up for RetailGenius on March 16th and needs more personalized product recommendations.",Technical,Medium,Open,Sneha_Reddy,"2026-05-31 06:10:17","2026-06-18 18:32:08",NULL
72,264,"Needs better reporting for EdTech workflows","Pranav Miller signed up on March 20th and needs improved reporting tools for his EdTech company, CloudMind Systems.",Account,High,Open,Arjun_Mehta,"2026-01-06 14:58:17","2026-01-14 00:15:46",NULL
73,455,"Need for more intuitive interface","Zara Gupta signed up on March 7th and needs a more user-friendly interface.",Onboarding,Medium,Open,Priya_Sharma,"2026-05-31 05:11:17","2026-06-23 04:09:12",NULL
74,115,"Need more advanced financial tools","Tanvi Chopra signed up on March 10th and needs access to advanced financial analysis tools.",Technical,Low,Open,Ananya_Iyer,"2026-06-01 12:13:17","2026-06-05 23:58:40",NULL
75,56,"Need for improved financial tools","Sachin Deshpande signed up on June 1st and needs better financial management solutions.",Account,High,Open,Ravi_Kumar,"2026-02-15 05:45:17","2026-04-04 23:40:32",NULL
76,270,"SSO login redirects to error page","Amanda Mukherjee cannot complete SSO login for RetailGenius. Users are redirected to an error page after identity-provider authentication.",Account,Low,Closed,Divya_Pillai,"2026-06-03 07:01:17","2026-06-06 14:58:04","2026-06-06 14:58:04"
77,264,"Invoice mismatch after renewal","CloudMind Systems reports that the latest Premium renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,Open,Sneha_Reddy,"2026-02-01 05:51:17","2026-03-06 08:48:59",NULL
78,455,"Slack alerts not firing","DataBridge Analytics configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Low,Closed,Sneha_Reddy,"2026-06-07 05:16:17","2026-06-07 13:01:45","2026-06-07 13:01:45"
79,115,"Invoice mismatch after renewal","MarketPulse AI reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,High,Resolved,Priya_Sharma,"2026-06-21 05:23:17","2026-06-25 17:47:03","2026-06-25 17:47:03"
80,56,"SSO login redirects to error page","Sachin Deshpande cannot complete SSO login for AlgoTrade Finance. Users are redirected to an error page after identity-provider authentication.",Account,High,"In Progress",Vikram_Rao,"2026-06-18 03:24:17","2026-07-04 09:36:54",NULL
81,254,"Integration Issue for EdTech Workflow","Ishaan Smith from NeuralPath AI needs better integration for their EdTech workflows.",Technical,Medium,Open,Suresh_Babu,"2026-01-06 14:29:17","2026-01-23 04:38:28",NULL
82,61,"Limited Personalization and Customer Support","Ananya Bhatia from SecureVault FinTech is looking for better personalization and customer support.",Account,Medium,Open,Ravi_Kumar,"2026-03-07 05:31:17","2026-07-01 16:13:32",NULL
83,70,"Limited Access to Advanced Features and Technical Support","Anjali Das from BrightMinds Education is seeking better access to advanced features and technical support.",Technical,Medium,Open,Vikram_Rao,"2026-02-20 03:13:17","2026-05-29 19:23:34",NULL
84,117,"Need Better Financial Planning Tools","Nandini Ghosh from LearnSphere EdTech needs better financial planning tools.",Technical,Medium,Open,Meera_Joshi,"2026-06-05 09:59:17","2026-06-24 07:18:52",NULL
85,355,"Needs Better Reporting for FinTech Workflows","Tanvi Johnson from SkillForge Academy needs better reporting for their FinTech workflows.",Account,Medium,Open,Ravi_Kumar,"2026-01-07 13:55:17","2026-02-14 02:20:28",NULL
86,254,"SSO login redirects to error page","Ishaan Smith cannot complete SSO login for NeuralPath AI. Users are redirected to an error page after identity-provider authentication.",Account,Critical,Resolved,Sneha_Reddy,"2026-03-28 10:08:17","2026-03-31 17:37:41","2026-03-31 17:37:41"
87,61,"SSO login redirects to error page","Ananya Bhatia cannot complete SSO login for SecureVault FinTech. Users are redirected to an error page after identity-provider authentication.",Account,High,Closed,Karthik_Nair,"2026-06-07 14:04:17","2026-06-10 08:45:56","2026-06-10 08:45:56"
88,70,"Slack alerts not firing","BrightMinds Education configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,"In Progress",Meera_Joshi,"2026-04-05 03:47:17","2026-04-22 10:33:14",NULL
89,117,"Slack alerts not firing","LearnSphere EdTech configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,Closed,Arjun_Mehta,"2026-07-04 03:15:17","2026-07-04 07:04:09","2026-07-04 07:04:09"
90,355,"Slack alerts not firing","SkillForge Academy configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Critical,Resolved,Meera_Joshi,"2026-02-23 08:23:17","2026-02-24 01:07:32","2026-02-24 01:07:32"
91,456,"Need for better user experience","Ishaan Gupta from CartFlow Retail has signed up for our service 40 days ago and is experiencing issues with the user interface.",Technical,Medium,Open,Ravi_Kumar,"2026-05-30 04:01:17","2026-06-21 07:00:30",NULL
92,52,"Need for improved data privacy","Sarah Yadav from DataBridge Analytics has signed up for our service 135 days ago and is concerned about the company's data privacy policies.",Billing,High,Open,Karthik_Nair,"2026-06-15 06:51:17","2026-06-23 22:48:39",NULL
93,195,"Need for more personalized learning materials","Kavya Kapoor from CuraHealth Systems has signed up for our service 180 days ago and is looking for ways to personalize the learning experience.",Account,Medium,Open,Divya_Pillai,"2026-06-10 03:35:17","2026-06-24 13:11:50",NULL
94,172,"Slow response times","Farhan Bhatia from RetailGenius has signed up for our service 180 days ago and is experiencing long wait times when trying to resolve issues.",Technical,High,Open,Divya_Pillai,"2026-06-10 05:31:17","2026-06-17 18:29:16",NULL
95,183,"High transaction fees","Michael Mehta from FinEdge Capital has signed up for our service 180 days ago and is concerned about the high transaction fees associated with their transactions.",Billing,Medium,Open,Vikram_Rao,"2026-06-10 06:11:17","2026-06-10 17:28:48",NULL
96,456,"Slack alerts not firing","CartFlow Retail configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,"In Progress",Karthik_Nair,"2026-06-10 05:35:17","2026-06-26 14:09:20",NULL
97,52,"Dashboard timeout on analytics export","DataBridge Analytics is seeing timeout errors when exporting analytics for their FinTech workflow. The issue blocks their weekly operations review.",Technical,Low,Closed,Ravi_Kumar,"2026-06-22 06:54:17","2026-06-23 20:45:30","2026-06-23 20:45:30"
98,195,"SSO login redirects to error page","Kavya Kapoor cannot complete SSO login for CuraHealth Systems. Users are redirected to an error page after identity-provider authentication.",Account,Low,Resolved,Ravi_Kumar,"2026-02-09 11:07:17","2026-02-14 20:23:30","2026-02-14 20:23:30"
99,172,"Dashboard timeout on analytics export","RetailGenius is seeing timeout errors when exporting analytics for their FinTech workflow. The issue blocks their weekly operations review.",Technical,High,"In Progress",Suresh_Babu,"2026-05-17 07:42:17","2026-07-04 09:57:13",NULL
100,183,"SSO login redirects to error page","Michael Mehta cannot complete SSO login for FinEdge Capital. Users are redirected to an error page after identity-provider authentication.",Account,High,Open,Ananya_Iyer,"2026-06-21 09:14:17","2026-07-04 14:51:59",NULL
101,472,"Need for more patient-centric care","Rajesh Nair from HealConnect Medical is experiencing difficulties in implementing a patient-centric approach due to the lack of advanced tools and resources.",Technical,Medium,Open,Suresh_Babu,"2026-05-31 02:16:17","2026-06-14 21:51:40",NULL
102,421,"Need better customer support","Sarah Saxena from MediTrack Health is seeking additional resources and assistance to improve the quality of customer support.",Account,High,Open,Priya_Sharma,"2026-01-06 09:46:17","2026-03-28 11:04:16",NULL
103,78,"Need better integration with existing systems","Pranav Verma from FinEdge Capital is experiencing issues integrating their new system with the company's legacy software, leading to inefficiencies and delays.",Integration,Medium,Open,Vikram_Rao,"2026-06-05 10:47:17","2026-06-09 23:53:41",NULL
104,431,"Need more advanced AI-driven chatbots","Sneha Das from CloudMind Systems is looking for a solution that can enhance the customer experience by providing better AI-powered assistance.",Technical,High,Open,Sneha_Reddy,"2026-06-05 07:32:17","2026-07-03 18:21:10",NULL
105,65,"Slow response times and limited access to customer feedback","Jessica Verma from SecureVault FinTech is facing delays in receiving timely responses and has restricted access to customer feedback, which impacts her ability to make informed decisions.",Account,Low,Open,Vikram_Rao,"2026-02-25 08:53:17","2026-06-22 05:49:41",NULL
106,472,"SSO login redirects to error page","Rajesh Nair cannot complete SSO login for HealConnect Medical. Users are redirected to an error page after identity-provider authentication.",Account,Medium,"In Progress",Sneha_Reddy,"2026-06-21 06:22:17","2026-07-04 06:10:15",NULL
107,421,"Dashboard timeout on analytics export","MediTrack Health is seeing timeout errors when exporting analytics for their Healthcare workflow. The issue blocks their weekly operations review.",Technical,High,Resolved,Ananya_Iyer,"2026-05-20 12:17:17","2026-05-24 02:27:33","2026-05-24 02:27:33"
108,78,"Slack alerts not firing","FinEdge Capital configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,Escalated,Meera_Joshi,"2026-06-17 08:47:17","2026-07-04 19:03:40",NULL
109,431,"Slack alerts not firing","CloudMind Systems configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Medium,Closed,Arjun_Mehta,"2026-06-09 07:26:17","2026-06-11 03:05:55","2026-06-11 03:05:55"
110,65,"SSO login redirects to error page","Jessica Verma cannot complete SSO login for SecureVault FinTech. Users are redirected to an error page after identity-provider authentication.",Account,Medium,Resolved,Vikram_Rao,"2026-05-04 05:02:17","2026-05-09 00:56:51","2026-05-09 00:56:51"
111,108,"Need more interactive teaching methods","Aryan Kapoor from SkillForge Academy needs more interactive teaching methods due to his industry being FinTech.",Technical,Medium,Open,Vikram_Rao,"2026-06-03 09:02:17","2026-06-18 01:13:49",NULL
112,298,"Inconsistent product updates","Yash Brown from CloudMind Systems is experiencing inconsistent product updates due to his industry being FinTech.",Technical,Medium,Open,Vikram_Rao,"2026-05-31 05:08:17","2026-06-07 15:03:22",NULL
113,156,"Needs better reporting for EdTech workflows","Kavya Srivastava from DataBridge Analytics needs better reporting due to her industry being EdTech.",Account,Medium,Open,Karthik_Nair,"2026-03-25 05:14:17","2026-05-07 14:18:34",NULL
114,345,"Needs better reporting for FinTech workflows","Anjali Kumar from ShopVault Commerce needs better reporting due to her industry being FinTech.",Account,Medium,Open,Meera_Joshi,"2026-01-06 06:49:17","2026-04-19 15:20:19",NULL
115,209,"Need for better customer support","Farhan Malhotra from HealConnect Medical needs better customer support due to his industry being AI/ML SaaS.",Account,Medium,Open,Ananya_Iyer,"2026-06-05 07:27:17","2026-06-16 07:00:43",NULL
116,108,"Legacy CRM import failing","SkillForge Academy is migrating historical customer data, but the import fails during validation. Their onboarding timeline is at risk.",Onboarding,Medium,Escalated,Karthik_Nair,"2026-06-24 10:22:17","2026-07-03 15:57:58",NULL
117,298,"Invoice mismatch after renewal","CloudMind Systems reports that the latest Basic renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Critical,Open,Karthik_Nair,"2026-06-30 07:42:17","2026-07-05 05:50:48",NULL
118,156,"SSO login redirects to error page","Kavya Srivastava cannot complete SSO login for DataBridge Analytics. Users are redirected to an error page after identity-provider authentication.",Account,Critical,Resolved,Vikram_Rao,"2026-05-20 03:04:17","2026-05-24 15:00:35","2026-05-24 15:00:35"
119,345,"Invoice mismatch after renewal","ShopVault Commerce reports that the latest Free renewal invoice does not match their active seat count. The finance team needs a corrected invoice before month-end reconciliation.",Billing,Medium,Open,Priya_Sharma,"2026-05-03 11:01:17","2026-06-08 03:04:38",NULL
120,209,"Slack alerts not firing","HealConnect Medical configured Slack alerts for support updates, but no messages are being delivered to their operations channel.",Integration,Low,Closed,Ravi_Kumar,"2026-06-29 08:09:17","2026-06-29 10:52:55","2026-06-29 10:52:55"
121,467,"Inventory Management Issue","Emily Garcia from CartFlow Retail needs better inventory management due to her pain point of needing more advanced features.",Technical,Medium,Open,Karthik_Nair,"2026-05-26 08:54:17","2026-05-28 13:26:18",NULL
